time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-02 00:00:00+00:00,1,1,,
2024-09-03 00:00:00+00:00,5,2,,
2024-09-04 00:00:00+00:00,2,2,,
2024-09-05 00:00:00+00:00,6,1,,
2024-09-06 00:00:00+00:00,1,1,,
2024-09-07 00:00:00+00:00,1,1,1.0,1.0
2024-09-08 00:00:00+00:00,1,1,,
2024-09-09 00:00:00+00:00,11,1,,
2024-09-10 00:00:00+00:00,16,1,,
2024-09-11 00:00:00+00:00,11,5,2.0,2.0
2024-09-12 00:00:00+00:00,1,1,23.0,1.0
2024-09-13 00:00:00+00:00,8,3,,
2024-09-14 00:00:00+00:00,1,1,,
2024-09-15 00:00:00+00:00,2,2,,
2024-09-16 00:00:00+00:00,1,1,,
