time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-03 00:00:00+00:00,5,2,22,1
2024-06-04 00:00:00+00:00,4,3,0,0
2024-06-05 00:00:00+00:00,26,5,18,1
2024-06-06 00:00:00+00:00,1,1,0,0
2024-06-07 00:00:00+00:00,1,1,0,0
2024-06-08 00:00:00+00:00,1,1,0,0
2024-06-09 00:00:00+00:00,2,2,0,0
2024-06-10 00:00:00+00:00,17,2,0,0
2024-06-11 00:00:00+00:00,1,1,2,1
2024-06-12 00:00:00+00:00,15,5,21,1
2024-06-13 00:00:00+00:00,148,20,197,1
2024-06-14 00:00:00+00:00,24,7,14,1
2024-06-15 00:00:00+00:00,1,1,7,1
2024-06-16 00:00:00+00:00,25,5,74,1
2024-06-17 00:00:00+00:00,10,2,5,3
2024-06-18 00:00:00+00:00,7,4,4,1
2024-06-19 00:00:00+00:00,32,7,57,1
2024-06-20 00:00:00+00:00,3,2,0,0
